date;temperature;luminosity;co2;humidity
2018-01-29T13:08:42.768464;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:10:42.853723;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:12:42.992914;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:14:43.054579;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:16:43.129644;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:18:43.218839;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:20:43.305805;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:22:43.397204;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:24:43.492808;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:26:43.582082;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T13:28:43.673985;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:30:43.756165;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T13:32:43.850806;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:34:43.943351;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:36:44.093404;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:38:44.180786;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:40:44.272430;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:42:44.362979;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:44:44.473466;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T13:46:44.555716;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T13:48:44.646272;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:50:44.731773;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:52:44.819397;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:54:44.909220;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:56:45.001681;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:58:45.092488;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:00:45.186338;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:02:45.281713;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:04:45.374284;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:06:45.518323;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:08:45.559443;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:10:45.644254;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:12:45.738827;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:14:45.825669;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:16:45.920060;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:18:46.005880;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:20:46.098712;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:22:46.182962;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:24:46.267103;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:26:46.359222;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:28:46.453544;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T14:30:46.545342;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:32:46.638455;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:34:46.733698;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:36:46.821775;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:38:46.952562;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:40:47.042209;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:42:47.129334;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:44:47.225503;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:46:47.315622;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:48:47.422477;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:50:47.513480;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:52:47.594819;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:54:47.692580;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:56:47.781473;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T14:58:47.940542;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:00:47.966610;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:02:48.048910;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:04:48.142552;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:06:48.223278;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:08:48.314862;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:10:48.408596;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:12:48.494591;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:14:48.587887;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:16:48.676879;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:18:48.765531;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:20:48.856340;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:22:48.942520;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:24:49.030323;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:26:49.117941;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:28:49.216975;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:30:49.310200;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:32:49.401739;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:34:49.495594;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:36:49.579870;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:38:49.676332;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:40:49.765947;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:42:49.861524;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:44:49.953758;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:46:50.046212;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T15:48:50.140169;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:50:50.235000;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:52:50.326028;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:54:50.412034;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:56:50.499570;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T15:58:50.590469;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:00:50.673075;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:02:50.761539;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:04:50.851659;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:06:50.942450;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:08:51.046951;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:10:51.135196;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:12:51.221495;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T16:14:51.313685;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T16:16:51.412703;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:18:51.488170;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T16:20:51.578630;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:22:51.669099;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:24:51.777674;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:26:51.867680;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:28:51.957489;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:30:52.046330;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T16:32:52.141244;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:34:52.233831;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:36:52.323288;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T16:38:52.409544;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:40:52.505991;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:42:52.590062;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:44:52.679611;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:46:52.771639;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T16:48:52.855144;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:50:52.948270;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:52:53.036997;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:54:53.130847;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T16:56:53.216218;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T16:58:53.308311;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T17:00:53.402474;[18-19.5];[<200];[0-400];[30-37]
