Ancien/Nouveau;[<16];[16-17];[17-18];[18-19.5];[19.5-20.8];[20.8-23.2];[23.2-24.5];[24.5-26];[26-27];[27-28] ;[>28]
[24.5-26] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012808;0.003202;0.0;0.0
[24.5-26] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[26-27] / [<200];0.0;0.0;0.0;0.0;0.0;0.00032;0.0;0.00032;0.001281;0.00032;0.0
[26-27] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004163;0.0;0.0
[26-27] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.0;0.0
[26-27] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.00032;0.0
[26-27] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.00064;0.0
[26-27] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001281;0.002882;0.00032;0.0
[26-27] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001601;0.00032;0.0
[26-27] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003202;0.001281;0.0;0.0
[26-27] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[26-27] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[26-27] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00064;0.003842;0.0
[27-28]  / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004483;0.0
[27-28]  / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001601;0.0
[27-28]  / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032;0.0;0.0
[27-28]  / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000961;0.00032;0.0
[27-28]  / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
