date;temperature;luminosity;co2;humidity
2017-09-16T13:02:00.266718;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:04:00.383479;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:06:00.518147;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:08:00.698820;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:10:00.834398;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:12:00.970729;[19.5-20.8];[400-500];[0-400];[37-42]
2017-09-16T13:14:01.101439;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:16:01.238860;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:18:01.367108;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:20:01.494279;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:22:01.642378;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:24:01.771692;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:26:01.910572;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:28:02.078551;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:30:02.207982;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:32:02.338743;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:34:02.463047;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:36:02.604851;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:38:02.713248;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T13:40:02.855934;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:42:02.985995;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:44:03.109205;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:46:03.243188;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:48:03.351010;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:50:03.484646;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:52:03.619053;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:54:03.741155;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:56:03.044919;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:58:03.458005;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:00:03.881223;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:02:04.259475;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:04:04.430478;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:06:04.567040;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:08:04.694950;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:10:04.825450;[20.8-23.2];[200-400];[0-400];[37-42]
2017-09-16T14:12:04.929064;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:14:05.066318;[20.8-23.2];[200-400];[0-400];[37-42]
2017-09-16T14:16:05.202603;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:18:05.326499;[20.8-23.2];[200-400];[0-400];[37-42]
2017-09-16T14:20:05.468615;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:22:05.581005;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T14:24:05.715875;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T14:26:05.837372;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T14:28:05.958515;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:30:05.064329;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:32:05.226308;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T14:34:05.414361;[19.5-20.8];[200-400];[0-400];[37-42]
