date;temperature;luminosity;co2;humidity
2018-06-04T12:29:35.542343;[24.5-26];[400-500];[0-400];[45-55]
2018-06-04T12:31:35.657348;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T12:33:35.601814;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T12:35:35.632506;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T12:37:35.004820;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T12:39:35.095993;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T12:41:35.198945;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T12:43:35.280884;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T12:45:35.372132;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:47:35.473465;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:49:35.563811;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:51:35.656892;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:53:35.748025;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:55:35.914698;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:57:35.963772;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:59:35.993135;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T13:01:36.023112;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T13:03:36.055936;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T13:05:36.084796;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T13:07:36.113138;[24.5-26];[400-500];[0-400];[45-55]
2018-06-04T13:09:36.144225;[24.5-26];[400-500];[0-400];[45-55]
2018-06-04T13:11:36.178285;[24.5-26];[400-500];[0-400];[45-55]
2018-06-04T13:13:36.209349;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T13:15:36.238689;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T13:17:36.268005;[26-27];[400-500];[0-400];[45-55]
2018-06-04T13:19:36.348195;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T13:21:36.324699;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T13:23:36.351636;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T13:25:36.382096;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T13:27:36.411271;[26-27];[600-900];[0-400];[45-55]
2018-06-04T13:29:36.438386;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T13:31:36.467982;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T13:33:36.496042;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T13:35:36.528023;[24.5-26];[400-500];[0-400];[45-55]
2018-06-04T13:37:36.561083;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T13:39:36.609503;[24.5-26];[400-500];[0-400];[45-55]
